symbol,side,entry_time,entry_price,exit_time,exit_price,reason,pnl,label
BTC/USDT,LONG,"2025-07-08 08:37:44,040",108250.000000,"2025-07-09 12:10:46,462",109353.400000,SL,0.010193,1
ETH/USDT,LONG,"2025-07-08 08:49:33,657",2548.930000,"2025-07-08 13:07:26,351",2584.470000,SL,0.013943,1
BNB/USDT,SHORT,"2025-07-08 08:53:31,028",660.540000,"2025-07-08 12:19:51,185",661.190000,TP2,-0.000984,0
CAKE/USDT,SHORT,"2025-07-08 09:02:46,284",2.244700,"2025-07-08 10:14:57,525",2.256200,SL,-0.005123,0
POPCAT/USDT,SHORT,"2025-07-08 09:02:51,266",0.282000,"2025-07-08 09:06:47,322",0.283500,SL,-0.005319,0
POPCAT/USDT,LONG,"2025-07-08 09:08:06,044",0.283500,"2025-07-08 10:17:41,592",0.286200,TP1,0.009524,1
DOGE/USDT,LONG,"2025-07-08 09:18:32,063",0.168570,"2025-07-08 10:43:52,533",0.169970,TP1,0.008305,1
SOL/USDT,LONG,"2025-07-08 09:19:47,081",150.150000,"2025-07-08 14:24:55,684",150.910000,SL,0.005062,1
MEME/USDT,LONG,"2025-07-08 09:21:10,773",0.001497,"2025-07-08 10:17:39,098",0.001511,TP1,0.009352,1
ZRX/USDT,LONG,"2025-07-08 09:39:40,815",0.215200,"2025-07-08 10:17:45,326",0.217000,TP1,0.008364,1
XRP/USDT,LONG,"2025-07-08 09:42:08,268",2.284600,"2025-07-08 12:34:41,136",2.302700,SL,0.007923,1
OP/USDT,LONG,"2025-07-08 09:43:38,182",0.533100,"2025-07-08 10:24:20,196",0.537400,TP1,0.008066,1
WIF/USDT,SHORT,"2025-07-08 10:05:50,295",0.841000,"2025-07-08 10:17:40,350",0.846100,SL,-0.006064,0
LDO/USDT,LONG,"2025-07-08 10:05:57,777",0.711000,"2025-07-08 16:25:59,740",0.711200,TP1,0.000281,1
WIF/USDT,SHORT,"2025-07-08 10:29:28,797",0.845900,"2025-07-08 12:28:12,317",0.841900,SL,0.004729,1
CAKE/USDT,SHORT,"2025-07-08 10:49:06,112",2.262900,"2025-07-08 15:25:44,408",2.258400,SL,0.001989,1
POPCAT/USDT,SHORT,"2025-07-08 10:58:22,709",0.287300,"2025-07-08 12:10:34,048",0.288600,SL,-0.004525,0
BTC/USDT,LONG,"2025-07-08 11:54:07,085",108731.700000,"2025-07-09 12:10:46,462",109353.400000,SL,0.005718,1
ZRX/USDT,LONG,"2025-07-08 12:01:23,470",0.218100,"2025-07-08 13:47:02,820",0.219900,TP1,0.008253,1
CAKE/USDT,LONG,"2025-07-08 12:02:33,473",2.270200,"2025-07-08 15:25:44,408",2.258400,SL,-0.005198,0
POPCAT/USDT,SHORT,"2025-07-08 12:02:38,464",0.287000,"2025-07-08 12:10:34,048",0.288600,SL,-0.005575,0
LINK/USDT,LONG,"2025-07-08 12:02:39,709",13.496000,"2025-07-08 13:57:30,816",13.612000,TP1,0.008595,1
SOL/USDT,LONG,"2025-07-08 12:10:26,588",151.680000,"2025-07-08 14:24:55,684",150.910000,SL,-0.005076,0
WIF/USDT,LONG,"2025-07-08 12:10:32,802",0.846700,"2025-07-08 12:28:12,317",0.841900,SL,-0.005669,0
XRP/USDT,SHORT,"2025-07-08 12:11:46,533",2.290500,"2025-07-08 12:34:41,136",2.302700,SL,-0.005326,0
BTC/USDT,SHORT,"2025-07-08 12:13:00,258",108729.300000,"2025-07-09 12:10:46,462",109353.400000,SL,-0.005740,0
POPCAT/USDT,LONG,"2025-07-08 12:14:44,960",0.288800,"2025-07-08 12:25:35,879",0.287000,SL,-0.006233,0
ETH/USDT,SHORT,"2025-07-08 12:15:53,688",2576.750000,"2025-07-08 13:07:26,351",2584.470000,SL,-0.002996,0
DOGE/USDT,SHORT,"2025-07-08 12:15:59,944",0.171050,"2025-07-08 12:21:35,559",0.170760,TP2,0.001695,1
LDO/USDT,SHORT,"2025-07-08 12:16:09,931",0.720700,"2025-07-08 16:25:59,740",0.711200,TP1,0.013182,1
BNB/USDT,SHORT,"2025-07-08 12:17:13,690",661.450000,"2025-07-08 12:19:51,185",661.190000,TP2,0.000393,1
OP/USDT,LONG,"2025-07-08 12:18:46,197",0.542500,"2025-07-08 13:37:52,318",0.542900,SL,0.000737,1
ALGO/USDT,SHORT,"2025-07-08 12:25:38,377",0.175600,"2025-07-08 12:41:23,551",0.176500,SL,-0.005125,0
ETH/USDT,SHORT,"2025-07-08 12:28:03,538",2571.450000,"2025-07-08 13:07:26,351",2584.470000,SL,-0.005063,0
WIF/USDT,LONG,"2025-07-08 12:33:27,443",0.846100,"2025-07-08 12:58:23,940",0.851900,TP1,0.006855,1
XRP/USDT,LONG,"2025-07-08 12:39:56,038",2.295600,"2025-07-08 14:53:33,578",2.281900,SL,-0.005968,0
MEME/USDT,LONG,"2025-07-08 12:47:52,425",0.001521,"2025-07-08 12:59:41,429",0.001529,TP1,0.005260,1
ALGO/USDT,LONG,"2025-07-08 12:47:57,409",0.176700,"2025-07-08 13:45:42,810",0.177600,TP1,0.005093,1
POPCAT/USDT,LONG,"2025-07-08 12:49:13,650",0.288800,"2025-07-08 13:04:58,904",0.291200,TP1,0.008310,1
BNB/USDT,SHORT,"2025-07-08 13:00:53,898",661.060000,"2025-07-08 15:29:37,464",657.660000,TP1,0.005143,1
OP/USDT,LONG,"2025-07-08 13:02:26,449",0.545800,"2025-07-08 13:37:52,318",0.542900,SL,-0.005313,0
ETH/USDT,LONG,"2025-07-08 13:08:45,042",2584.550000,"2025-07-08 14:18:19,487",2570.660000,SL,-0.005374,0
DOGE/USDT,LONG,"2025-07-08 13:32:28,585",0.170400,"2025-07-08 14:24:59,415",0.168940,SL,-0.008568,0
MEME/USDT,LONG,"2025-07-08 13:48:15,297",0.001538,"2025-07-08 14:05:19,517",0.001528,SL,-0.006502,0
WIF/USDT,LONG,"2025-07-08 13:48:16,543",0.855300,"2025-07-08 14:01:24,547",0.846600,SL,-0.010172,0
OP/USDT,LONG,"2025-07-08 13:48:22,799",0.549000,"2025-07-08 14:01:30,775",0.545500,SL,-0.006375,0
POPCAT/USDT,LONG,"2025-07-08 14:14:33,283",0.284100,"2025-07-08 14:53:39,832",0.279900,SL,-0.014784,0
XRP/USDT,LONG,"2025-07-08 14:58:49,152",2.282100,"2025-07-08 15:17:49,129",2.295700,TP1,0.005959,1
OP/USDT,LONG,"2025-07-08 15:07:28,009",0.535600,"2025-07-08 15:29:51,380",0.531800,SL,-0.007095,0
POPCAT/USDT,LONG,"2025-07-08 15:11:20,026",0.279700,"2025-07-08 16:24:34,223",0.282200,TP1,0.008938,1
DOGE/USDT,LONG,"2025-07-08 15:17:51,680",0.169890,"2025-07-08 15:25:45,666",0.169010,SL,-0.005180,0
ALGO/USDT,LONG,"2025-07-08 15:35:51,746",0.175100,"2025-07-08 16:25:55,950",0.176000,TP1,0.005140,1
SOL/USDT,LONG,"2025-07-08 15:39:38,618",150.330000,"2025-07-08 16:11:16,766",149.550000,SL,-0.005189,0
LDO/USDT,LONG,"2025-07-08 15:39:52,586",0.705800,"2025-07-08 16:25:59,740",0.711200,TP1,0.007651,1
MEME/USDT,LONG,"2025-07-08 15:42:21,670",0.001501,"2025-07-08 16:23:12,744",0.001511,TP1,0.006662,1
CAKE/USDT,LONG,"2025-07-08 15:44:57,072",2.260300,"2025-07-09 12:20:09,565",2.305100,SL,0.019820,1
ZRX/USDT,LONG,"2025-07-08 15:46:24,919",0.217300,"2025-07-08 16:22:00,116",0.218400,TP1,0.005062,1
